Name,University,JoinYear,Rank,Subfield,Bachelors,Doctorate
Ming Lin,University of North Carolina - Chapel Hill,,Full,Graphics,University of California - Berkeley,University of California - Berkeley
Montek Singh,University of North Carolina - Chapel Hill,2001,Associate,Hardware & Architecture,Indian Institute of Technology - Delhi,Columbia University
Prasun Dewan,University of North Carolina - Chapel Hill,,Full,Operating Systems,Indian Institute of Technology - Delhi,University of Wisconsin - Madison
Ron Alterovitz,University of North Carolina - Chapel Hill,2009,Assistant,Artificial Intelligence,California Institute of Technology,University of California - Berkeley
Stan Ahalt,University of North Carolina - Chapel Hill,2009,Full,Scientific Computing,Virginia Polytechnic Institute and State University,Clemson University
Stephen Pizer,University of North Carolina - Chapel Hill,1970,Full,Graphics,Brown University,Harvard University
Tamara Berg,University of North Carolina - Chapel Hill,2013,Assistant,Computer Vision,University of Wisconsin - Madison,University of California - Berkeley
Vladimir Jojic,University of North Carolina - Chapel Hill,2011,Assistant,Bioinformatics & Computational Biology,University of Illinois at Urbana-Champaign,University of Toronto
Marina Blanton,University of Notre Dame - USA,2007,Assistant,Security & Privacy,Tyumen State Oil and Gas University,Purdue University
Nitesh V. Chawla,University of Notre Dame - USA,2007,Associate,Data Mining,Pune University - Poona,University of South Florida
Danny Chen,University of Notre Dame - USA,1992,Full,Distributed & Parallel Computing,University of San Fransisco,Purdue University
David Chiang,University of Notre Dame - USA,2014,Associate,Natural Language & Speech,Harvard University,University of Pennsylvania
Sidney D'Mello,University of Notre Dame - USA,2009,Assistant,Human-Computer Interaction,Christian Brothers University,Memphis State University
Patrick J. Flynn,University of Notre Dame - USA,2001,Full,Computer Vision,Michigan State University,Michigan State University
Jesus Izaguirre,University of Notre Dame - USA,1999,Associate,Bioinformatics & Computational Biology,Monterrey Institute of Technology and Higher Education,University of Illinois at Urbana-Champaign
Tijana Milenkovic,University of Notre Dame - USA,2010,Assistant,Bioinformatics & Computational Biology,University of Sarajevo,University of California - Irvine
Christian Poellabauer,University of Notre Dame - USA,2004,Associate,Real-Time & Embedded Systems,Vienna University of Technology,Georgia Institute of Technology
Laurel Riek,University of Notre Dame - USA,2011,Assistant,Artificial Intelligence,Carnegie Mellon University,University of Cambridge
Douglas Thain,University of Notre Dame - USA,2004,Associate,Distributed & Parallel Computing,University of Minnesota - Twin Cities,University of Wisconsin - Madison
Chaoli Wang,University of Notre Dame - USA,2014,Associate,Scientific Computing,Fuzhou University,Ohio State University
Dong Wang,University of Notre Dame - USA,2014,Assistant,Data Mining, University of Electronic Science and Technology of China,University of Illinois at Urbana-Champaign
Tim Weninger,University of Notre Dame - USA,2013,Assistant,Networks & Communications,Kansas State University,University of Illinois at Urbana-Champaign
Aaron Roth,University of Pennsylvania,2011,Assistant,Algorithms & Theory,Columbia University,Carnegie Mellon University
Alexander (Sasha) Rakhlin,University of Pennsylvania,2010,Assistant,Machine Learning & Pattern Recognition,Cornell University,Massachusetts Institute of Technology
Andreas Haeberlen,University of Pennsylvania,2010,Assistant,Distributed & Parallel Computing,Karlsruhe Institute of Technology,Rice University
Ani Nenkova,University of Pennsylvania,2007,Associate,Natural Language & Speech,University of Edinburgh,Columbia University
Benjamin C. Pierce,University of Pennsylvania,1998,Full,Programming Languages,Carnegie Mellon University,Carnegie Mellon University
Boon Thau Loo,University of Pennsylvania,2006,Associate,Databases,University of California - Berkeley,University of California - Berkeley
Camillo J. Taylor,University of Pennsylvania,1990,Full,Artificial Intelligence,Harvard University,Yale University
Chris Callison-Burch,University of Pennsylvania,2013,Assistant,Natural Language & Speech,Stanford University,University of Edinburgh
Insup Lee,University of Pennsylvania,1983,Full,Real-Time & Embedded Systems,University of North Carolina - Chapel Hill,University of Wisconsin - Madison
Jean Gallier,University of Pennsylvania,1978,Full,Graphics,Ecole Nationale des Ponts et Chaussees,University of California - Los Angeles
Jianbo Shi,University of Pennsylvania,2003,Associate,Computer Vision,Cornell University,University of California - Berkeley
Joe Devietti,University of Pennsylvania,2013,Assistant,Hardware & Architecture,University of Pennsylvania,University of Washington
Kostas Daniilidis,University of Pennsylvania,1998,Full,Computer Vision,National Technical University of Athens,Karlsruhe Institute of Technology
Ladislav Kavan,University of Pennsylvania,2013,Assistant,Graphics,Charles University - Prague,Czech Technical University in Prague
Lyle Ungar,University of Pennsylvania,1990,Full,Machine Learning & Pattern Recognition,Stanford University,Massachusetts Institute of Technology
Matt Blaze,University of Pennsylvania,1994,Associate,Security & Privacy,City University of New York,Princeton University
Max Mintz,University of Pennsylvania,1974,Full,Algorithms & Theory,Cornell University,Cornell University
Michael Kearns,University of Pennsylvania,2002,Full,Algorithms & Theory,University of California - Berkeley,Harvard University
Mitch Marcus,University of Pennsylvania,1987,Full,Natural Language & Speech,Harvard University,Massachusetts Institute of Technology
Nadia Heninger,University of Pennsylvania,2013,Assistant,Security & Privacy,University of California - Berkeley,Princeton University
Rajeev Alur,University of Pennsylvania,2003,Full,Computer Education,Indian Institute of Technology - Kanpur,Stanford University
Rakesh Vohra,University of Pennsylvania,1984,Full,Algorithms & Theory,University College London,University of Maryland - College Park
Sanjeev Khanna,University of Pennsylvania,,Full,Algorithms & Theory,Birla Institute of Technology and Science - Pilani,Stanford University
Stephanie Weirich,University of Pennsylvania,2002,Associate,Programming Languages,Rice University,Cornell University
Steve Zdancewic,University of Pennsylvania,2002,Associate,Programming Languages,Carnegie Mellon University,Cornell University
Susan B. Davidson,University of Pennsylvania,1998,Full,Databases,Cornell University,Princeton University
Zach Ives,University of Pennsylvania,1998,Associate,Databases,Sonoma State University,University of Washington
Shi-Kuo Chang,University of Pittsburgh,1986,Full,Multimedia,National Taiwan University - Taipei,University of California - Berkeley
Donald Chiarulli,University of Pittsburgh,1986,Full,Distributed & Parallel Computing,Louisiana State University,Louisiana State University
Bruce Childers,University of Pittsburgh,2000,Full,Hardware & Architecture,College of William and Mary,University of Virginia
Sangyeun Cho,University of Pittsburgh,2004,Associate,Hardware & Architecture,Seoul National University - Seoul,University of Minnesota - Twin Cities
Panos Chrysanthis,University of Pittsburgh,1991,Full,Databases,University of Athens,University of Massachusetts - Amherst
Robert Daley,University of Pittsburgh,1975,Full,Algorithms & Theory,Carnegie Institute of Technology,Carnegie Mellon University
Rebecca Hwa,University of Pittsburgh,2003,Associate,Artificial Intelligence,University of California - Los Angeles,Harvard University
Alexandros Labrinidis,University of Pittsburgh,2002,Associate,Databases,University of Crete,University of Maryland - College Park
John Lange,University of Pittsburgh,2010,Assistant,Operating Systems,Northwestern University,Northwestern University
Adam Lee,University of Pittsburgh,2008,Associate,Security & Privacy,Cornell University,University of Illinois at Urbana-Champaign
Diane Litman,University of Pittsburgh,2001,Full,Artificial Intelligence,College of William and Mary,University of Rochester
G. Elisabeta Marai,University of Pittsburgh,2007,Assistant,Graphics,Politehnica University,Brown University
Rami Melhem,University of Pittsburgh,1986,Full,Distributed & Parallel Computing,Cairo University - Cairo,University of Pittsburgh
Daniel Mosse,University of Pittsburgh,1996,Full,Distributed & Parallel Computing,University of Brasilia,University of Maryland - College Park
Kirk Pruhs,University of Pittsburgh,2001,Full,Networks & Communications,Iowa State University,University of Wisconsin-Madison
Jingtao Wang,University of Pittsburgh,2010,Assistant,Human-Computer Interaction,Xi’an Jiaotong University - Xi'an,University of California - Berkeley
Youtao Zhang,University of Pittsburgh,2006,Associate,Security & Privacy,Nanjing University - Nanjing,University of Arizona
Christopher M. Brown,University of Rochester,1991,Full,Computer Vision,Oberlin College,University of Chicago
Chen Ding,University of Rochester,2001,Full,Distributed & Parallel Computing,Peking University - Beijing,Rice University
Sandhya Dwarkadas,University of Rochester,1999,Full,Distributed & Parallel Computing,Indian Institute of Technology - Bombay,Rice University
Daniel Gildea,University of Rochester,2003,Associate,Machine Learning & Pattern Recognition,University of California - Berkeley,University of California - Berkeley
Philip Guo,University of Rochester,2014,Assistant,Computer Education,Massachusetts Institute of Technology,Stanford University
Lane A. Hemaspaandra,University of Rochester,1989,Full,Algorithms & Theory,Yale University,Cornell University
M. Ehsan Hoque,University of Rochester,2008,Assistant,Human-Computer Interaction,Pennsylvania State University,Massachusetts Institute of Technology
Engin Ipek,University of Rochester,2009,Assistant,Hardware & Architecture,Cornell University,Cornell University
Henry Kautz,University of Rochester,2006,Full,Natural Language & Speech,Cornell University,University of Toronto
Ji Liu,University of Rochester,2014,Assistant,Machine Learning & Pattern Recognition,University of Science and Technology of China,University of Wisconsin - Madison
Jiebo Luo,University of Rochester,2011,Full,Computer Vision,University of Science and Technology of China,University of Rochester
